,Products,depths,Solved
184,COc1cc(F)ccc1Br,2.0,True
327,FC(F)(F)c1ccc(Oc2cccnc2)c(Cl)c1,6.0,True
1705,Brc1ccccc1OCc1cccc2cnccc12,1.0,True
187,CCCOc1ccc(Oc2ccccc2Cl)cc1,11.0,False
4978,FC(F)(F)c1ccc(Oc2ccccc2Br)c(Cl)c1,1.0,True
3772,Cc1c(F)cccc1I,1.0,True
190,Clc1ccccc1OCC1CCC1,11.0,False
191,COc1cccc(Oc2ccc(F)c(Cl)c2)c1,11.0,False
192,Clc1ccc(Oc2ccccn2)c(Cl)c1,6.0,True
193,CCCCOc1ccc(Oc2ccccc2I)cc1OCCCC,11.0,False
194,Fc1cccc(C(Oc2ccccc2Br)C(F)(F)F)c1,11.0,False
195,COc1cccc(I)c1OCCCCOc1ccccc1,11.0,False
1360,Cc1cc(Oc2ccccc2Br)ccc1F,5.0,True
197,Cc1c(Br)cccc1NC(=O)c1ccccc1C(C)C,11.0,False
198,Cc1cccc(COc2c(O)cccc2I)c1,11.0,False
199,FC(F)(F)c1ccccc1OCc1ccccc1Br,11.0,False
3831,Clc1c(Br)ccc2ccccc12,2.0,True
666,Nc1cccc(Br)c1C(F)(F)F,1.0,True
4565,Cc1ccc(COc2c(N)cccc2Cl)c(C)c1,1.0,True
204,Fc1ccc(I)c(F)c1,1.0,True
667,Oc1cc(F)c(Oc2ccccc2Br)cc1F,2.0,True
2852,COc1ccc(Cl)c(OC(F)(F)F)c1,1.0,True
207,Clc1ccc2c(I)cccc2c1,1.0,True
210,CCOc1cc(C(F)(F)F)c(Br)cc1OC,11.0,False
4782,Cc1cccc(C(F)(F)F)c1Oc1ccccc1Br,2.0,True
212,COc1ccc(I)c(OCCCCc2ccccc2)c1,11.0,False
6064,Cc1cccc(C)c1COc1ccccc1Br,1.0,True
215,Clc1ccc(Cc2c(Cl)cccc2Oc2ccccc2I)cc1,11.0,False
216,Nc1cc(I)c(F)c(OCC(F)(F)F)n1,11.0,False
217,COc1c(Cl)cccc1Nc1ccccc1C(F)(F)F,2.0,True
4090,Oc1ccc(Br)c(OC(F)F)c1,2.0,True
2095,COc1cccc(Cl)c1N,2.0,True
220,Cc1cc(Cl)c(F)cc1OC(F)(F)F,1.0,True
221,COc1cccc(Oc2ccccc2Br)c1OC(C)(C)C,11.0,False
1348,Fc1ccc(Oc2cccc(I)c2F)cc1,2.0,True
4331,CCc1cc(OCC(F)(F)F)ccc1Oc1ccccc1Br,1.0,True
4769,COc1ccc(Oc2ccccc2)cc1I,8.0,True
226,Fc1ccc(Cl)c(OCC(F)F)c1,11.0,False
227,Oc1ccccc1Oc1ncccc1Cl,11.0,False
229,CCC(Oc1ccccc1Br)C(F)(F)F,11.0,False
230,Fc1cc(F)c(F)c(COc2ccc(Cl)cc2Oc2ccccc2I)c1,11.0,False
232,Cc1csc(C)c1CCCOc1ccccc1Cl,11.0,False
2231,N#Cc1ccccc1Oc1ccccc1Br,1.0,True
234,CCOc1cccc(Cl)c1C(F)(F)F,11.0,False
235,FC(F)(F)Oc1cc(C(F)(F)F)ccc1Br,11.0,False
236,NS(=O)(=O)c1ccc(Oc2ccccc2I)cc1,8.0,True
237,COc1cccc(Br)c1NC1CCCCCC1,11.0,False
4075,COc1ccc(Br)c2c(C)cccc12,7.0,True
239,CCOc1cc2cccc(Cl)c2cc1Oc1ccccc1,11.0,False
2867,COc1ccc(C(F)(F)F)c(Cl)c1,1.0,True
241,CCCOc1cccc(I)c1O,11.0,False
269,Fc1cccc(CCCOc2ccc(F)c(Cl)c2)c1,3.0,True
244,Clc1ccc(OCc2cccnc2)c(Cl)c1,11.0,False
3137,Oc1ccc2cccc(Cl)c2c1,3.0,True
246,Cc1cccc(CCOc2ccccc2Br)c1,3.0,True
1653,CCOc1cccc(F)c1Br,1.0,True
248,COc1c(Br)ccc(Br)c1OC,4.0,True
249,CC(C)COc1c(N)cccc1Br,0.0,True
250,CC(C)Oc1ccc(I)c(OC(C)C)c1,11.0,False
251,CC(C)Oc1ccccc1Oc1ccccc1I,11.0,False
5962,Oc1cnccc1Br,1.0,True
4604,Cc1ccc(Oc2ccccc2I)c(C)c1Cl,7.0,True
5215,COc1cc(OC)cc(Oc2ccccc2Br)c1,1.0,True
255,CCCCOc1cccc(Br)c1OC(C)C,11.0,False
256,Oc1cc(OCc2ccccc2)ccc1Br,0.0,True
257,CCOc1c(N)cccc1Br,1.0,True
258,CCCCOc1cccc(Oc2ccccc2Br)c1,11.0,False
1248,Fc1cc2ccccc2cc1Cl,2.0,True
260,Fc1cccc(Oc2ccc(C(F)(F)F)cc2I)c1,7.0,True
3092,COc1ccc(CCOc2ccccc2Br)c(OC)c1,1.0,True
262,COc1ccc(Cl)c(O)c1,1.0,True
263,Cn1c(COc2ccccc2Br)cc2ccccc21,11.0,False
265,FC(F)(F)c1ncccc1I,1.0,True
266,Oc1ccccc1Oc1cc(F)c(Cl)cc1Br,4.0,True
267,Clc1ccccc1OCc1ccoc1,11.0,False
5553,FC(F)Oc1cc(Cl)ccc1Br,2.0,True
2964,O=C(c1ccccc1)c1ccccc1Br,0.0,True
271,FCCCOc1c(Cl)ccc2ccccc12,5.0,True
272,CCOc1ccc(OCC)c(I)c1,11.0,False
3331,Oc1cc(C(F)(F)F)ccc1I,1.0,True
274,Brc1ncccc1I,1.0,True
1993,CC1(C)Cc2c(I)cccc2O1,3.0,True
3574,FC(F)(F)c1cccc(COc2ccccc2Br)c1Cl,2.0,True
2512,COc1ccc(COc2ccccc2Br)cc1OC,2.0,True
3364,CCCC(Oc1ccccc1Br)c1ccccc1,3.0,True
3355,FC(F)(F)Oc1cccc(OCCCc2ccccc2Br)c1,3.0,True
280,Clc1cccc2cccc(-c3cccnc3)c12,11.0,False
5265,Brc1ccccc1OC(c1ccccc1)c1ccccc1,3.0,True
6159,Cc1cc(C)c(Oc2ccccc2Br)c(C)c1,4.0,True
283,COc1ccc(Br)c(OCCC(C)(C)C)c1OC,11.0,False
284,Clc1cc(Cl)c(COc2cccnc2)cc1Cl,11.0,False
285,Clc1ccc(Oc2ccccc2Br)cc1,2.0,True
2106,Cc1cccc(COc2ccccc2Br)c1C,10.0,True
4034,Fc1cccc(Oc2ccccc2Br)c1Cl,3.0,True
289,Cc1cc(C#N)ccc1Br,2.0,True
290,CCCCOc1ccccc1-c1ccccc1I,11.0,False
291,Brc1cccc(Br)c1OCc1cccnc1,11.0,False
292,FC(F)(F)c1cc(Cl)c2ccccc2n1,0.0,True
293,Clc1cc(Cl)c(Cl)cc1Cl,1.0,True
294,Brc1ccccc1Oc1cccc(-n2cccc2)c1,11.0,False
295,CCCOc1ccccc1Nc1ncccc1Cl,7.0,True
1432,FC(F)(F)Oc1cccc(Br)c1Cl,1.0,True
297,CCCOc1cccc(I)c1C,11.0,False
298,Fc1cc(Oc2ccccc2Br)cc(F)c1F,2.0,True
595,Oc1ccc(Cl)c(O)c1O,5.0,True
4278,COc1ccc(Br)c2ccccc12,3.0,True
301,CCOc1cc(F)c(O)c(I)c1,2.0,True
4591,COc1c(C)ccc(I)c1C,1.0,True
303,CCc1ccc(I)c(OC(F)(F)F)c1,2.0,True
1299,CCOc1c(Cl)ccc(O)c1C,2.0,True
305,CC(=NOC(C)C)c1ccccc1C=COc1ccccc1Cl,11.0,False
306,FC(F)Oc1ccc(Cl)cc1Oc1ncccc1Cl,11.0,False
320,Clc1cc(Cl)cc(COc2ccccc2-c2ccccc2I)c1,4.0,True
5721,O=c1[nH]nccc1Cl,1.0,True
309,COc1cccc(Br)c1Oc1c(F)cccc1F,11.0,False
5195,COc1ccc(I)c(F)c1OC,2.0,True
2103,Fc1cc(Oc2ccccc2Br)ccc1C(F)(F)F,2.0,True
312,Fc1ccc(I)c(Oc2ccccc2C(F)(F)F)c1,11.0,False
313,COc1ccc(Cl)c([N+](=O)[O-])c1O,11.0,False
315,FC(F)C(F)(F)Oc1cc(OC(F)(F)F)ccc1I,11.0,False
5967,COc1ccc2c(Cl)cccc2c1,1.0,True
317,Cc1cccc(Cl)c1-c1ccccc1,1.0,True
3188,Fc1ccccc1Oc1ccccc1Cl,0.0,True
319,FC(F)(F)c1cccc(Cl)c1Oc1ccccc1Br,3.0,True
373,CCOc1cccc(I)c1OC(F)(F)F,3.0,True
323,CCOc1c(Br)cc(C(C)C)c(F)c1OCC,11.0,False
324,Nc1cccc(Cl)c1O,1.0,True
1490,Cc1ccc(Br)c(OCc2ccccc2)c1C,8.0,True
326,COc1c(Br)cccc1C(F)(F)F,11.0,False
328,CCCOc1ccccc1Oc1ncccc1I,11.0,False
329,COc1ccccc1COc1c(C)cccc1I,11.0,False
330,COc1cccc(COc2ccccc2I)c1C(F)(F)F,11.0,False
331,CCCCn1cc(CCOc2ccccc2Br)c(C(F)(F)F)c1,11.0,False
332,COc1ccc(Br)c(OCCc2c(C)cccc2C)c1,11.0,False
333,COc1cc(Br)ccc1Oc1ccccc1Cl,11.0,False
334,Fc1ccc(Oc2ccccc2Br)cc1F,1.0,True
335,COc1cccc(Oc2ccccc2Br)c1OC,2.0,True
336,FCCOc1ccc(Br)c(OCC(F)(F)F)c1,11.0,False
337,CCC(Oc1c(Br)cccc1C(F)(F)F)C(F)(F)F,11.0,False
338,FC(F)(F)Oc1ccc(Oc2ccccc2I)cc1,11.0,False
339,CC(C)(C)c1ncccc1Br,11.0,False
340,CCOc1ccccc1COc1ccccc1Br,11.0,False
2893,FC(F)(F)c1c(Br)cccc1I,2.0,True
345,CCCCOc1ccccc1COc1ccccc1I,11.0,False
346,CN(CCOc1ccccc1Br)c1ccccc1,2.0,True
378,Fc1ccc(F)c(Oc2ccccc2Br)c1,1.0,True
348,CCCOc1ccccc1Oc1c(F)cccc1Cl,11.0,False
1188,Cc1cscc1COc1ccccc1Br,3.0,True
1076,FC(F)(F)c1ccc(-c2ccccc2I)cc1,2.0,True
5314,Cc1ccc(I)c(C)c1Cl,1.0,True
353,FC(F)Oc1ccc(Br)c(Br)c1,0.0,True
355,Clc1cccc(Oc2ccccc2Oc2ccccc2Br)c1,2.0,True
356,CCCCOc1ccc(O)c(-c2ccccc2Br)c1,11.0,False
357,Oc1c(F)cc(F)cc1Br,1.0,True
358,[O-]c1cccc(I)c1OC(F)F,11.0,False
4859,Clc1ccc(Cl)c(Oc2ccccc2I)c1,2.0,True
4282,CN(C)CCOc1ccccc1Br,0.0,True
362,CCCCOc1ccc(Oc2ccccc2Cl)cc1N,11.0,False
363,CCc1c(Cl)cncc1Cl,2.0,True
364,Clc1ccccc1C(Oc1ccccc1Br)c1ccccc1OCc1ccccc1,11.0,False
365,CCCCOc1c(F)cccc1Cl,11.0,False
5495,Clc1ccccc1COc1ccccc1Br,2.0,True
367,Nc1ccc(I)c2ccccc12,2.0,True
368,COc1cc(C(F)(F)F)cc(C)c1Oc1ccccc1Oc1ccccc1I,11.0,False
369,CC(C)Oc1c(Cl)ccc2ccccc12,11.0,False
6071,Cc1c(Oc2ccccc2Br)cccc1C(F)(F)F,2.0,True
372,Fc1ccc(Oc2ccccc2I)cc1,1.0,True
374,COc1ccc(Cl)c(OC(C)C)c1,11.0,False
375,CCOc1ccc(OCCCCc2ccccc2)c(Br)c1,11.0,False
1227,Clc1cc(COc2ccccc2Br)cc(Cl)c1Cl,2.0,True
377,Cc1ccc(Oc2cccc(C)c2C)c(I)c1,1.0,True
379,COc1ccc(-c2cccc(Oc3ccccc3Cl)c2)cc1O,11.0,False
381,COc1cccc(I)c1OCC(F)F,11.0,False
382,CSc1cccc(I)c1OC(F)F,11.0,False
1786,Cc1cc(C)c(C)c(Br)c1,1.0,True
384,Cc1ccc(Br)c(F)c1,1.0,True
385,COc1cccc(I)c1OCCc1ccccc1C(C)(C)C,11.0,False
386,CC(C)Oc1c(Cl)cccc1I,11.0,False
387,Oc1ccc(I)c2ccccc12,4.0,True
3406,CCOc1c(Cl)cc(Cl)cc1I,0.0,True
3876,CCOc1cc(O)ccc1Br,1.0,True
391,CC(C)(C)c1cccc(OCCCCOc2ccccc2Cl)c1,11.0,False
392,N#Cc1cccc(I)c1Cl,0.0,True
393,CCCOc1cccc(I)c1OC,11.0,False
6008,Brc1ccccc1OCc1ccc(Oc2ccccc2)cc1,2.0,True
396,CCCCOc1c(Br)cccc1OCc1ccccc1,11.0,False
397,COc1cc(Oc2ccccc2Br)c(F)cc1F,3.0,True
398,COc1ccc(OCCO)cc1Br,11.0,False
5831,FC(F)(F)c1cnccc1Oc1ccccc1Br,2.0,True
400,CCOc1ccc(Cl)c(OC(F)F)c1,11.0,False
401,Cc1cccc(C#N)c1Oc1ccccc1Br,2.0,True
402,Fc1cccc(Oc2ccc(F)c(I)c2)c1,7.0,True
403,Cc1cccc(Oc2ccccc2I)n1,11.0,False
1969,Fc1cc(Br)c2ccccc2c1,2.0,True
405,CCOc1cccc(Cl)c1OCc1ccccc1Cl,11.0,False
5100,Cc1c(F)ccc(Oc2ccccc2Br)c1C,6.0,True
407,Cc1ccc(Cl)cc1COc1ccccc1I,11.0,False
408,COc1cc(F)ccc1Oc1ccccc1Br,11.0,False
409,COc1ccc2cccc(Br)c2c1,11.0,False
410,CCOc1cc(Cl)c(Cl)c(Br)c1,11.0,False
5860,Fc1cccc(Cl)c1Oc1ccccc1Cl,1.0,True
2637,CCc1ccccc1COc1ccccc1Br,2.0,True
4920,Cc1cc(COc2ccccc2Br)ccc1Br,10.0,True
414,FC(F)(F)COc1cc(Oc2ccccc2Cl)ccc1Br,11.0,False
563,COc1ccc(COc2ccccc2Br)cc1Cl,2.0,True
2435,CCCCOc1c(O)cccc1Br,1.0,True
1816,Cc1cccc(COc2ccccc2Br)c1,9.0,True
419,CC1(CCOc2ccc(OC(F)F)c(Br)c2)CCCCC1,2.0,True
5661,CCc1ccccc1-c1ccccc1I,1.0,True
421,CC(CC(C)(C)C)Oc1ccccc1Br,11.0,False
3096,FCCOc1cccc(I)c1Cl,3.0,True
423,O=[N+]([O-])c1c(Br)cccc1OC(F)(F)F,2.0,True
1477,FC(F)Oc1c(Cl)cccc1Oc1ccccc1Br,3.0,True
425,O=[N+]([O-])c1ccc(I)c(Cl)c1,1.0,True
426,FC(F)(F)C(F)(F)COc1ccccc1Br,11.0,False
427,COc1ccc(Oc2ccccc2I)c(C)c1,11.0,False
428,CC(C)Oc1cc(F)ccc1Cl,11.0,False
5584,Brc1ccccc1CCOc1ccccc1Br,4.0,True
430,COc1c(Cl)cccc1OCC1CCCC1,11.0,False
431,CCCc1c(O)cccc1I,2.0,True
433,COc1c(Br)ccc(Cl)c1Cl,2.0,True
434,FC(F)Oc1ccc(I)c(OC(F)(F)F)c1,3.0,True
435,COc1ccc(C)c(COc2ccccc2Br)c1,1.0,True
