,Products,depths,Solved
163,COc1ccccc1C(C)Oc1ccc(Cl)cc1I,1.0,True
164,CCC(F)(F)COc1cccc(Oc2ccccc2Br)c1,1.0,True
165,Oc1cccc(O)c1Br,0.0,True
166,Nc1c(O)cccc1Cl,0.0,True
3155,COc1cccc(COc2cc(F)ccc2Br)c1,0.0,True
168,Fc1cc(F)c(Br)cc1F,0.0,True
169,FC(F)(F)Oc1ccc(COc2ccccc2Br)cc1,1.0,True
883,Clc1ccccc1-c1sc2cccc(Cl)c2c1Cl,1.0,True
171,CCCCOc1c(Br)ccc2ccccc12,1.0,True
467,CCCOc1ccccc1I,0.0,True
173,Cc1ccc(C)c(CCCOc2ccccc2I)c1,1.0,True
174,Fc1ccccc1Br,0.0,True
175,FCCOc1cccc(Oc2ccccc2Br)c1,1.0,True
176,Cc1cccc(Oc2ccccc2I)c1C,1.0,True
177,Fc1cccc(I)c1C(F)(F)F,0.0,True
178,OCCCOc1ccccc1Cl,0.0,True
179,Clc1ccccc1OCc1cccc2cnccc12,1.0,True
180,COc1ccc(OCc2ccc(C(C)(C)C)cc2)c(Cl)c1,1.0,True
181,FC(F)C(F)(F)Oc1cccc(-c2ccccc2Br)c1,1.0,True
182,CCc1ccc(F)c(Cl)c1,0.0,True
183,Fc1cccc(-c2ccccc2I)c1Cl,1.0,True
184,COc1ccc(Cl)c(OCc2cccc(F)c2)c1,1.0,True
185,Cc1c(Cl)cccc1-c1ncccc1Cl,1.0,True
186,CC(C)(C)c1ccccc1Oc1cc(C(F)(F)F)ccc1Br,1.0,True
187,Fc1cccc(Oc2ccccc2Cl)c1F,1.0,True
188,CCOc1ccc(OC(C)C)c(Br)c1,1.0,True
189,COc1ccccc1OCc1cc(Cl)ccc1Cl,1.0,True
190,COc1cccc(Br)c1OCCCc1ccc(Cl)cc1,1.0,True
191,FC(F)Oc1cccc(Cl)c1Oc1ccccc1C(F)(F)F,1.0,True
192,COc1cccc(-c2ccccc2Cl)c1O,1.0,True
193,FC(F)(F)c1cccc(Oc2cccc(Br)c2Cl)c1,1.0,True
194,CCOc1c(Cl)cccc1OC(F)F,1.0,True
195,Clc1cccc(Cl)c1CCOc1ccccc1Br,1.0,True
3017,Clc1cccc(OCc2ccccc2Br)c1Cl,0.0,True
197,O=[N+]([O-])c1cccc(I)c1OC(F)F,0.0,True
198,Fc1cc(Oc2ccccc2Br)ccc1Cl,1.0,True
199,CCCOc1cc(C(C)(C)C)ccc1Cl,1.0,True
1852,COc1c(Cl)cccc1-c1ccccc1C(F)(F)F,0.0,True
201,CCOc1c(Cl)cc(C(C)C)c(F)c1OCC,2.0,True
202,COc1cc2c(I)cccc2c(O)c1O,2.0,True
203,CCOc1cc(O)ccc1Cl,0.0,True
204,COc1cc(F)c(F)cc1Br,0.0,True
205,Brc1ccccc1OCCCN1CCCCC1,1.0,True
239,Ic1ccccc1Oc1ccncn1,0.0,True
